ClienteID,numero_compras,ingreso_total,ingreso_promedio,primera_compra,ultima_compra,ClienteNombre,GeneroCliente,EdadCliente,dias_desde_ultima_compra
46,3,0.0,,,,Brunilda Escudero Pallarès,F,28,
45,1,0.0,,,,Andrea de Heredia,F,26,
44,1,0.0,,,,Noemí Solano Aramburu,F,39,
43,1,0.0,,,,Úrsula Miranda Alcalá,F,46,
42,1,0.0,,,,Maxi Borrell Nicolau,F,23,
41,2,0.0,,,,Juan Bautista Carrión Barros,M,37,
40,3,0.0,,,,Adrián Roda Pareja,M,30,
39,1,0.0,,,,Victoriano Ocaña Perales,M,18,
38,1,0.0,,,,Consuela del Rubio,F,42,
37,2,0.0,,,,Eladio Carmelo Arellano Benavides,M,28,
36,1,0.0,,,,Eligio Baena-Fabra,M,40,
67,2,0.0,,,,Begoña Ruiz,F,43,
66,3,0.0,,,,Eufemia Lloret Arcos,F,43,
65,2,0.0,,,,Ascensión Florinda Murcia Cervantes,F,23,
64,1,0.0,,,,Leire Monreal Martin,F,21,
63,3,0.0,,,,Olimpia Palma Bertrán,F,40,
62,2,0.0,,,,Ileana Castejón Uriarte,F,47,
61,2,0.0,,,,Ruben Machado,M,34,
60,5,0.0,,,,Paz Rovira-Segarra,F,26,
59,1,0.0,,,,Morena Abascal Luna,F,44,
58,2,0.0,,,,Xiomara Manuel Barroso,F,26,
57,1,0.0,,,,Olalla Jáuregui Durán,F,25,
56,2,0.0,,,,Eugenio de Camps,M,25,
55,4,0.0,,,,Marciano Barberá Espada,M,40,
54,3,0.0,,,,Alfonso Lerma,M,22,
53,1,0.0,,,,Luis Ángel Carlos Aragonés,M,27,
52,2,0.0,,,,Ofelia Torrecilla Dominguez,F,33,
83,1,0.0,,,,Celestina Heredia Benítez,F,23,
82,3,0.0,,,,Eusebia Adán Sosa,F,33,
81,1,0.0,,,,Abraham Rueda,M,22,
80,2,0.0,,,,Renata Lucas,F,51,
79,3,0.0,,,,María Dolores Ballesteros Avilés,F,29,
78,4,0.0,,,,Carmelita Araujo Gomis,F,42,
77,2,0.0,,,,Darío Fermín Tello Clavero,M,37,
76,4,0.0,,,,Eustaquio Juan Bernad,M,43,
75,2,0.0,,,,Juan Bautista Valcárcel Agullo,M,18,
74,2,0.0,,,,Heraclio Valenciano Arana,M,29,
73,3,0.0,,,,Eliseo Jurado Lopez,M,33,
72,1,0.0,,,,Gustavo Salvà Armas,M,21,
71,2,0.0,,,,Blanca Gras-Barreda,F,33,
70,1,0.0,,,,Efraín Gomila Barroso,M,34,
69,1,0.0,,,,Toni Bermudez-Roldan,M,40,
68,2,0.0,,,,Tristán del Mayo,M,32,
99,2,0.0,,,,Esperanza Gras Goicoechea,F,48,
98,1,0.0,,,,Nacio Cortina Marquez,M,21,
97,1,0.0,,,,Marcial Salas Salas,M,23,
96,3,0.0,,,,Tomás Amorós Posada,M,42,
95,2,0.0,,,,Mateo Garriga Niño,M,39,
94,3,0.0,,,,María Belén Paula Andreu Falcó,F,50,
93,2,0.0,,,,Tania Company Cañete,F,44,
92,2,0.0,,,,Eliseo Carreño,M,37,
91,3,0.0,,,,Raquel Garrido Gutiérrez,F,43,
90,2,0.0,,,,Rómulo Quirós Arce,M,41,
89,1,0.0,,,,Faustino Sureda Bravo,M,29,
88,2,0.0,,,,Calista Benitez Salamanca,F,30,
87,2,0.0,,,,Yago Sevillano,M,25,
86,1,0.0,,,,Anabel Muro,F,37,
85,2,0.0,,,,Maximino Fabregat,M,45,
84,2,0.0,,,,Esperanza del Asenjo,F,42,
115,2,0.0,,,,Bernarda Taboada,F,19,
114,1,0.0,,,,Rufina Aparicio-Company,F,21,
113,2,0.0,,,,Alicia del Gras,F,33,
112,1,0.0,,,,Jeremías Castejón Barreda,M,28,
111,1,0.0,,,,Eufemia Sosa Palacios,F,28,
110,2,0.0,,,,Constanza del Suarez,F,28,
109,2,0.0,,,,María Manuel,M,41,
108,1,0.0,,,,Pío Delgado Piña,M,24,
107,2,0.0,,,,Manu Marqués Portillo,M,28,
106,1,0.0,,,,África Alvarado Bejarano,F,18,
105,1,0.0,,,,Fausto Rosselló Robles,M,19,
104,1,0.0,,,,Nazaret de Peralta,F,36,
103,2,0.0,,,,Albino Perelló-Franch,M,32,
102,4,0.0,,,,Cebrián Catalá Taboada,M,33,
101,4,0.0,,,,Simón Ocaña Arcos,M,20,
100,1,0.0,,,,Rafa Sanmiguel Calvo,M,18,
131,3,0.0,,,,Berto Luque-Adán,M,18,
130,2,0.0,,,,Aránzazu de Soriano,F,45,
129,3,0.0,,,,Angelino Vega-Núñez,M,42,
128,1,0.0,,,,Aitor Hoyos Ibáñez,M,25,
127,2,0.0,,,,Tito Moliner,M,29,
126,1,0.0,,,,Arturo Carro Velasco,M,26,
125,2,0.0,,,,Víctor Castellanos Simó,M,27,
124,3,0.0,,,,Coral Huguet,F,43,
123,3,0.0,,,,Diego del Agustín,M,48,
122,3,0.0,,,,Chus Solana Dueñas,M,19,
121,2,0.0,,,,Selena de Rubio,F,34,
120,2,0.0,,,,Nazario Mariscal-Jimenez,M,28,
119,1,0.0,,,,Gracia Paniagua Alegre,F,36,
118,3,0.0,,,,María José Salas Catalán,F,47,
117,2,0.0,,,,Elba Acedo Pozuelo,F,44,
116,3,0.0,,,,Segismundo Abella Ríos,M,51,
147,1,0.0,,,,Calixta Rodríguez Pastor,F,24,
146,2,0.0,,,,Estela Gálvez Molina,F,20,
145,2,0.0,,,,Ramiro Salvador Cisneros Silva,M,45,
144,3,0.0,,,,Eligia Diaz Diéguez,F,27,
143,3,0.0,,,,Fabio Mármol,M,21,
142,3,0.0,,,,Claudia de Alvarez,F,50,
141,1,0.0,,,,Javiera Mendizábal-Pozo,F,26,
140,4,0.0,,,,Quique Alba Sotelo,M,44,
139,5,0.0,,,,Hilario Boada Exposito,M,50,
138,2,0.0,,,,Mauricio Rico Téllez Tirado,M,28,
137,3,0.0,,,,Anacleto Moya-Uría,M,42,
136,4,0.0,,,,Vicente Río,M,41,
135,3,0.0,,,,Calisto Gómez Herrera,M,35,
134,1,0.0,,,,Odalys Maestre Bueno,F,24,
133,3,0.0,,,,Encarnacion Abella Yuste,F,26,
132,1,0.0,,,,Haydée Clara Zaragoza Canales,F,18,
163,1,0.0,,,,Jose Ramón Herrera-Sacristán,M,21,
162,1,0.0,,,,Inmaculada Moraleda-Sandoval,F,21,
161,1,0.0,,,,Camilo Ferreras,M,24,
160,1,0.0,,,,Luis Barranco,M,20,
159,2,0.0,,,,Manu Domínguez Mur,M,19,
158,3,0.0,,,,Jovita Paca Morales Alegre,F,24,
157,3,0.0,,,,Julio César Rocha-Piña,M,51,
156,2,0.0,,,,Clara Lobo Torrens,F,39,
155,3,0.0,,,,Nando Rogelio Lobato Suárez,M,18,
154,2,0.0,,,,Rosalinda Cordero Moraleda,F,48,
153,1,0.0,,,,Hipólito Cifuentes Mínguez,M,27,
152,3,0.0,,,,Reyes Ramírez,F,50,
151,3,0.0,,,,Elpidio Ballester-Ferrándiz,M,48,
150,1,0.0,,,,Emilio Sales-Rodrigo,M,37,
149,2,0.0,,,,Álvaro Calzada Garcia,M,45,
148,2,0.0,,,,Cleto Porta Riquelme,M,40,
179,4,0.0,,,,Cesar Ortiz Valenzuela,M,34,
178,1,0.0,,,,Dionisio Jódar Roldán,M,41,
177,3,0.0,,,,Desiderio Gálvez-Bonet,M,22,
176,1,0.0,,,,Ale Morante Solera,M,47,
175,1,0.0,,,,Alex Gutiérrez Vázquez,M,47,
174,2,0.0,,,,Leandra Blazquez,F,29,
173,1,0.0,,,,Narciso Diéguez Pineda,M,22,
172,1,0.0,,,,Ariel Camilo Lopez Vicens,M,19,
171,4,0.0,,,,Lorenzo Conesa Gabaldón,M,38,
170,2,0.0,,,,Lope Medina Zabaleta,M,29,
169,2,0.0,,,,Desiderio Leal Arana,M,22,
168,4,0.0,,,,Isabela Virginia Valencia España,F,40,
167,2,0.0,,,,Blas Rodriguez,M,35,
166,1,0.0,,,,Cruz Cepeda,M,19,
165,1,0.0,,,,Elpidio Viana Pedrero,M,19,
164,4,0.0,,,,Aitor de González,M,40,
195,3,0.0,,,,Tomasa Llobet Ripoll,F,27,
194,3,0.0,,,,Obdulia Almagro Bonilla,F,45,
193,2,0.0,,,,Teobaldo Ledesma Pardo,M,20,
192,1,0.0,,,,Severo Román Atienza,M,32,
191,1,0.0,,,,Jesús Puente Gabaldón,M,48,
190,4,0.0,,,,Blas del Borrás,M,19,
189,2,0.0,,,,Eva María Garcia Gonzalez,F,50,
188,2,0.0,,,,Samuel López Escobar,M,33,
187,3,0.0,,,,Francisco Vega-Alcalá,M,48,
186,1,0.0,,,,Adelia del Zamorano,F,37,
185,2,0.0,,,,Iker del Plana,M,18,
184,2,0.0,,,,Jose Angel Clavero Cerro,M,32,
183,2,0.0,,,,Constanza Ledesma,F,24,
182,2,0.0,,,,Nazario Corral Abella,M,47,
181,5,0.0,,,,Leocadia de Ramírez,F,46,
180,3,0.0,,,,Patricia Cabanillas Bernal,F,42,
211,2,0.0,,,,María Dolores Carro Moles,F,40,
210,4,0.0,,,,Joel Cifuentes Blasco,M,30,
209,2,0.0,,,,Cleto Inocencio Pastor Barrio,M,45,
208,3,0.0,,,,Rosaura Tejedor Luz,F,25,
207,2,0.0,,,,Eladio Tejada-Llorente,M,33,
206,4,0.0,,,,Adelaida Pedro Gámez,F,37,
205,4,0.0,,,,Isaura Marti,F,31,
204,3,0.0,,,,Eduardo Téllez Valbuena,M,28,
203,1,0.0,,,,Hector Aragonés Torrijos,M,38,
202,1,0.0,,,,Luciana Cifuentes,F,39,
201,2,0.0,,,,Edmundo Campo Fuster,M,45,
200,3,0.0,,,,Cándida de Lerma,F,31,
199,1,0.0,,,,Toño Herrera Tirado,M,48,
198,1,0.0,,,,Alfonso Checa Ugarte,M,21,
197,3,0.0,,,,Águeda Viña Gonzalo,F,31,
196,3,0.0,,,,Quique Nebot Viña,M,38,
227,1,0.0,,,,Dionisio Cid-Olmedo,M,40,
226,4,0.0,,,,María Cristina Castañeda-Navas,F,30,
225,2,0.0,,,,Elodia Camps,F,36,
224,1,0.0,,,,Federico Calvet Coll,M,41,
223,2,0.0,,,,Javi Vilaplana Plaza,M,48,
222,4,0.0,,,,Nilda Toro Baños,F,20,
221,2,0.0,,,,Josefina Florentina Frías Alberola,F,38,
220,2,0.0,,,,Luz Miralles Santana,F,21,
219,3,0.0,,,,Reyna Arnaiz Carreras,F,21,
218,3,0.0,,,,Silvestre Roldán Palomares,M,19,
217,4,0.0,,,,Felix Morata Diez,M,18,
216,5,0.0,,,,Miriam de Reina,F,35,
215,2,0.0,,,,Celso Gil Suárez Ferrero,M,33,
214,1,0.0,,,,Gerardo Andrés Cantero,M,36,
213,2,0.0,,,,Sabas Cazorla Azcona,M,20,
212,1,0.0,,,,Amando Barroso,M,45,
243,2,0.0,,,,Paco Becerra Calderon,M,20,
242,2,0.0,,,,Inmaculada de Aramburu,F,50,
241,1,0.0,,,,Clímaco Sevilla Aramburu,M,24,
240,2,0.0,,,,Pánfilo Salazar,M,25,
239,4,0.0,,,,Ruperto Ballester Dominguez,M,32,
238,2,0.0,,,,Ramona del Carrión,F,31,
237,2,0.0,,,,Miguel Sanjuan Benet,M,35,
236,2,0.0,,,,Cayetana Palomino,F,24,
235,1,0.0,,,,Esmeralda Alonso,F,33,
234,3,0.0,,,,Marcos Marc Sans Carballo,M,21,
233,2,0.0,,,,Fanny de Espinosa,F,42,
232,2,0.0,,,,Jose Antonio Badía Torrijos,M,39,
231,2,0.0,,,,Nacho Omar Arnal Bermudez,M,40,
230,3,0.0,,,,Marisa Pomares Márquez,F,19,
229,1,0.0,,,,Pili Oliver Bas,F,45,
228,2,0.0,,,,Sigfrido Esparza Crespi,M,51,
259,3,0.0,,,,Seve Cervantes Goñi,M,34,
258,3,0.0,,,,Román del Posada,M,31,
257,2,0.0,,,,Victoria Gallart Sastre,F,39,
256,3,0.0,,,,Teobaldo Miguel Ángel Bas Hoyos,M,43,
255,3,0.0,,,,Dimas Puig,M,43,
254,2,0.0,,,,Tadeo Águila Roma,M,24,
253,3,0.0,,,,Hortensia Mulet Cerro,F,19,
252,2,0.0,,,,Marciano Marti Castañeda,M,51,
251,2,0.0,,,,Segismundo Lamas Barbero,M,23,
250,1,0.0,,,,Emma Lerma-Soto,F,26,
249,2,0.0,,,,Lara Vendrell Porcel,F,48,
248,2,0.0,,,,Buenaventura de Sancho,M,43,
247,3,0.0,,,,Pepito Azcona Cámara,M,18,
246,2,0.0,,,,Amor del Martinez,M,22,
245,3,0.0,,,,Azahara de Porta,F,25,
244,1,0.0,,,,José Mari Vilar,M,31,
275,2,0.0,,,,Benito Gomila Esteban,M,44,
274,2,0.0,,,,Benigno Solé Múñiz,M,48,
273,3,0.0,,,,Enrique del Marquez,M,46,
272,4,0.0,,,,Judith Samper Gibert,F,37,
271,2,0.0,,,,Cipriano Guzman Villar,M,43,
270,2,0.0,,,,Encarna Soledad Acosta Gonzalo,F,20,
269,3,0.0,,,,Modesto Carrillo Malo,M,41,
268,2,0.0,,,,Noa Céspedes,F,42,
267,3,0.0,,,,Wilfredo Rodríguez Ferrándiz,M,48,
266,1,0.0,,,,José Luis Sevilla-Busquets,M,25,
265,1,0.0,,,,Carmelita del Parejo,F,31,
264,2,0.0,,,,Nando Figueras Riquelme,M,37,
263,1,0.0,,,,Pacífica Querol Sanmartín,F,49,
262,3,0.0,,,,Jordi Corbacho Carvajal,M,34,
261,1,0.0,,,,Cleto Navas,M,37,
260,4,0.0,,,,Brígida Riquelme Crespo,F,21,
291,3,0.0,,,,Soledad Esteban Araujo,F,20,
290,1,0.0,,,,Carolina Miralles,F,48,
289,2,0.0,,,,Lorena Amat Aramburu,F,26,
288,2,0.0,,,,Marcelo Buendía Abril,M,37,
287,2,0.0,,,,Evaristo Jordi Hernando Luz,M,46,
286,3,0.0,,,,Martín Calvo Galván,M,27,
285,2,0.0,,,,Vito Adán Villalonga,M,48,
284,1,0.0,,,,Agustín Danilo Guijarro Guillen,M,41,
283,2,0.0,,,,Telmo Girona-Mendizábal,M,23,
282,1,0.0,,,,Flor Uriarte,F,25,
281,5,0.0,,,,Olga Blazquez Vilar,F,45,
280,2,0.0,,,,Melisa de Aguiló,F,32,
279,2,0.0,,,,Teresita Porta-Verdugo,F,29,
278,3,0.0,,,,Amador Sarmiento Llanos,M,50,
277,2,0.0,,,,Casemiro Bustamante Fabregat,M,20,
276,1,0.0,,,,Itziar Almazán-Ojeda,F,48,
307,3,0.0,,,,Juanito Luciano Abella Nogués,M,20,
306,2,0.0,,,,Clementina Iborra Grau,F,47,
305,3,0.0,,,,Roque Palomino,M,51,
304,1,0.0,,,,Sol Agullo Sosa,F,30,
303,1,0.0,,,,Julia Beltran Novoa,F,22,
302,1,0.0,,,,Buenaventura Coronado Carnero,M,30,
301,3,0.0,,,,Esperanza de Castelló,F,29,
300,2,0.0,,,,Néstor Feijoo Barral,M,18,
299,4,0.0,,,,Nico Santamaria Benitez,M,20,
298,2,0.0,,,,Tomás Sotelo Bárcena,M,42,
297,2,0.0,,,,Diana Baeza Múñiz,F,33,
296,2,0.0,,,,Juanita Solís,F,37,
295,2,0.0,,,,Francisco Javier Santiago,M,39,
294,3,0.0,,,,Reynaldo Peiró Sala,M,51,
293,2,0.0,,,,Heliodoro Cortina,M,51,
292,1,0.0,,,,Guillermo Torrents Sales,M,51,
323,3,0.0,,,,Fernando de Varela,M,30,
322,3,0.0,,,,Xavier Jáuregui Gárate,M,40,
321,2,0.0,,,,Sebastián Ugarte,M,50,
320,3,0.0,,,,Evita Villar Zurita,F,32,
319,1,0.0,,,,Chus Sevillano Canals,M,23,
318,3,0.0,,,,Marciano Quintanilla Vizcaíno,M,37,
317,3,0.0,,,,Florencia Pozo Cabezas,F,22,
316,3,0.0,,,,Mariano del Borrego,M,27,
315,1,0.0,,,,Juliana Corona Cordero Verdugo,F,33,
314,2,0.0,,,,Samuel Cordero-Calvet,M,49,
313,1,0.0,,,,Dani Mancebo Barriga,M,36,
312,3,0.0,,,,Antonia Armas-Campillo,F,46,
311,4,0.0,,,,Flavio de Royo,M,20,
310,3,0.0,,,,Jose Luis Acosta-Coloma,M,35,
309,2,0.0,,,,Leonel Vallejo Galiano,M,42,
308,4,0.0,,,,Duilio Osorio Bou,M,29,
339,2,0.0,,,,Rosa María Sobrino Arcos,F,21,
338,2,0.0,,,,Victorino de Fiol,M,50,
337,2,0.0,,,,Alfonso Llorente,M,34,
336,2,0.0,,,,Nacio Peláez Tejero,M,51,
335,1,0.0,,,,Wilfredo Lledó,M,39,
334,1,0.0,,,,Claudio de Ojeda,M,46,
333,3,0.0,,,,Laura Montaña Chaves,F,20,
332,1,0.0,,,,Virginia Loreto Lago Maestre,F,46,
331,4,0.0,,,,Eusebio Andres,M,50,
330,2,0.0,,,,Jonatan Cuéllar Gutierrez,M,18,
329,1,0.0,,,,Hector Carretero-Villegas,M,23,
328,3,0.0,,,,Ainoa Marina Solís Pou,F,38,
327,3,0.0,,,,Pelayo Verdugo-Solís,M,43,
326,2,0.0,,,,Sonia Pineda Guzman,F,36,
325,2,0.0,,,,Leonardo Manzano,M,34,
324,1,0.0,,,,Dani Solís Vega,M,25,
355,3,0.0,,,,Enrique Lamas,M,25,
354,2,0.0,,,,Eduardo Victorino Sacristán Falcón,M,18,
353,2,0.0,,,,Remedios Mir Pujadas,F,22,
352,1,0.0,,,,Guadalupe Paniagua-Vives,M,46,
351,2,0.0,,,,Aránzazu Olmedo Arrieta,F,24,
350,1,0.0,,,,Germán del Toledo,M,48,
349,2,0.0,,,,Leonardo Blas Sotelo Cabrera,M,35,
348,4,0.0,,,,Candelaria Prieto Lledó,F,33,
347,1,0.0,,,,José Ángel Reina Colom,M,30,
346,3,0.0,,,,Amando Iborra Sevillano,M,36,
345,1,0.0,,,,Juana Bejarano-Corral,F,39,
344,2,0.0,,,,Saturnino Zorrilla Cortina,M,45,
343,4,0.0,,,,Darío Ángel Vizcaíno,M,24,
342,4,0.0,,,,Ricardo Salgado Andres,M,31,
341,1,0.0,,,,Emma Grande Delgado,F,40,
340,3,0.0,,,,Eduardo Tovar Folch,M,47,
371,5,0.0,,,,Nazaret de Falcón,F,18,
370,3,0.0,,,,Adriana Domingo Herranz,F,42,
369,3,0.0,,,,Leonardo del Martin,M,45,
368,2,0.0,,,,Eulalia Oller Pulido,F,21,
367,1,0.0,,,,Reina Segovia Tejera,F,46,
366,3,0.0,,,,Luis Miguel Salinas Mas,M,26,
365,3,0.0,,,,Dalila Revilla Miró,F,41,
364,2,0.0,,,,Adolfo Marin Yuste,M,39,
363,1,0.0,,,,Aníbal Molins Peral,M,30,
362,1,0.0,,,,Ángel Cantón,M,36,
361,1,0.0,,,,Conrado Velázquez Páez,M,18,
360,1,0.0,,,,Victor Gimenez Quero,M,38,
359,2,0.0,,,,Albino Nieto Reguera,M,27,
358,1,0.0,,,,Goyo Tejedor Coll,M,19,
357,4,0.0,,,,Ascensión Villegas Barrena,F,23,
356,1,0.0,,,,Jose Miguel Perales Castilla,M,23,
387,1,0.0,,,,Dionisio Carrillo Exposito,M,35,
386,2,0.0,,,,Santiago Alcolea Planas,M,28,
385,2,0.0,,,,Heriberto Castillo Torre,M,28,
384,2,0.0,,,,Bruno Domínguez Lobato,M,29,
383,1,0.0,,,,Martin Cerdá,M,31,
382,2,0.0,,,,Ulises Sedano Cabrera,M,26,
381,1,0.0,,,,Loreto de Casado,M,50,
380,2,0.0,,,,Amado Paredes,M,34,
379,3,0.0,,,,Ángela Acero Parra,F,46,
378,3,0.0,,,,Porfirio Mas,M,31,
377,1,0.0,,,,Laura Enríquez,F,24,
376,3,0.0,,,,Pepito Ródenas Borja,M,18,
375,2,0.0,,,,Feliciana Bello Verdugo,F,30,
374,3,0.0,,,,Godofredo Baltasar Laguna Gomila,M,29,
373,2,0.0,,,,Ángela Bermudez,F,42,
372,2,0.0,,,,Nicanor Marco,M,37,
403,2,0.0,,,,Rosalinda Company,F,26,
402,3,0.0,,,,Jose Carlos del Lorenzo,M,43,
401,4,0.0,,,,Baltasar del Sales,M,22,
400,2,0.0,,,,Graciano Carbó-Fuertes,M,38,
399,4,0.0,,,,Patricio Alemany,M,18,
398,4,0.0,,,,Leocadio Bayona,M,25,
397,3,0.0,,,,Úrsula Estefanía Gascón Colomer,F,36,
396,1,0.0,,,,Custodio de Solano,M,28,
395,2,0.0,,,,Manolo Barrera Correa,M,38,
394,1,0.0,,,,Antonio Villalonga,M,40,
393,1,0.0,,,,Raúl Priego Montenegro,M,43,
392,2,0.0,,,,Calixto Vila-Gutierrez,M,22,
391,2,0.0,,,,Ofelia Canales Barral,F,21,
390,2,0.0,,,,Mario Alonso Aguiló,M,47,
389,4,0.0,,,,Roberto Portillo Barbero,M,32,
388,2,0.0,,,,Román Arenas García,M,19,
419,4,0.0,,,,Lino Núñez Naranjo,M,22,
418,4,0.0,,,,Diana González Zapata,F,28,
417,3,0.0,,,,Nydia Cordero Arenas,F,50,
416,2,0.0,,,,Toribio Montero Merino,M,27,
415,2,0.0,,,,Jesusa Zamora Bayona,F,41,
414,1,0.0,,,,Lucila Viñas Angulo,F,24,
413,2,0.0,,,,Ignacia Milla Gilabert,F,51,
412,3,0.0,,,,Gala Barco Simó,F,51,
411,2,0.0,,,,Abigaíl Pozuelo-Colom,F,38,
410,5,0.0,,,,Dalila Montero,F,41,
409,1,0.0,,,,Matías Bas Amo,M,32,
408,1,0.0,,,,Aarón Oliveras Sevillano,M,36,
407,2,0.0,,,,Moreno Tomé Diego,M,30,
406,1,0.0,,,,Herberto Vallés,M,33,
405,2,0.0,,,,Claudio Plana Valbuena,M,38,
404,3,0.0,,,,Estrella de Macias,F,38,
435,2,0.0,,,,Regina Moliner Bauzà,F,47,
434,4,0.0,,,,Hilda Galán Galván,F,43,
433,1,0.0,,,,Anastasia Crespi-Quintanilla,F,23,
432,2,0.0,,,,Aristides Briones Pelayo,M,39,
431,3,0.0,,,,Florina Canet Rozas,F,30,
430,2,0.0,,,,Carlos Lloret,M,47,
429,5,0.0,,,,Silvio Peláez,M,36,
428,1,0.0,,,,Isabela Beltrán-Fonseca,F,44,
427,2,0.0,,,,Iván Rovira Fabregat,M,43,
426,2,0.0,,,,Rómulo Vargas Terrón,M,31,
425,1,0.0,,,,Miguel Navarro Real,M,19,
424,3,0.0,,,,Agustín Ribera Ortiz,M,28,
423,1,0.0,,,,Nerea Rivero Seco,F,19,
422,1,0.0,,,,Federico Zamorano Egea,M,36,
421,3,0.0,,,,Rodrigo Piquer Rodriguez,M,23,
420,1,0.0,,,,Tiburcio Calderón Ojeda,M,34,
451,3,0.0,,,,Alicia Carretero Marin,F,27,
450,3,0.0,,,,Victor Carreño,M,19,
449,2,0.0,,,,Casemiro Montesinos Iborra,M,31,
448,1,0.0,,,,Rodrigo Conesa Montero,M,40,
447,3,0.0,,,,Leandra Iniesta Ferrándiz,F,44,
446,2,0.0,,,,Leocadio Campo Flor,M,23,
445,2,0.0,,,,Natividad Rosalía Nuñez Aliaga,F,48,
444,1,0.0,,,,Ágata Ramírez-Olmo,F,51,
443,1,0.0,,,,Cayetana Melero-Bayona,F,41,
442,2,0.0,,,,Abilio Muñoz Morante,M,18,
441,3,0.0,,,,Cipriano Malo Domínguez,M,26,
440,2,0.0,,,,Rita Donoso,F,29,
439,1,0.0,,,,Dimas del Soler,M,23,
438,2,0.0,,,,Marcial Gallo Sotelo,M,24,
437,1,0.0,,,,Noé Valcárcel,M,26,
436,1,0.0,,,,Teo Santiago Rodríguez,M,50,
467,3,0.0,,,,Loreto Bosch Luján,F,44,
466,2,0.0,,,,Natalia Murillo Quesada,F,26,
465,2,0.0,,,,Ramiro Casas Palomo,M,41,
464,2,0.0,,,,Petrona Ferreras-Villena,F,49,
463,2,0.0,,,,Rosalva Gordillo Lucas,F,38,
462,3,0.0,,,,Eva María del Figuerola,F,36,
461,2,0.0,,,,Eduardo Teodoro Gordillo Uribe,M,36,
460,1,0.0,,,,Andrea Antón Girona,F,50,
459,5,0.0,,,,Áurea Armas Hidalgo,F,39,
458,4,0.0,,,,Carina del Conesa,F,51,
457,1,0.0,,,,Eladio Manso Cases,M,25,
456,3,0.0,,,,Dimas Zapata-Sabater,M,35,
455,2,0.0,,,,Eric Galván-Bertrán,M,39,
454,1,0.0,,,,Amador Silvestre Tudela Vicens,M,44,
453,2,0.0,,,,Sosimo Neira Losa,M,29,
452,3,0.0,,,,Edgardo de Artigas,M,37,
483,1,0.0,,,,Salud Palacio Muro,F,34,
482,2,0.0,,,,Celestina Tejedor Juárez,F,21,
481,1,0.0,,,,Paulina Álvarez Esteve,F,27,
480,3,0.0,,,,Vicente de Mulet,M,36,
479,2,0.0,,,,Íñigo Adán Badía,M,22,
478,1,0.0,,,,Federico del Garriga,M,31,
477,1,0.0,,,,Leonor Mesa Puerta,F,36,
476,1,0.0,,,,Tadeo Figueras Arranz,M,39,
475,1,0.0,,,,Jesús Escamilla Carreras,M,22,
474,4,0.0,,,,Benita Soler Fonseca,F,21,
473,2,0.0,,,,Xavier Palomares Amo,M,47,
472,1,0.0,,,,Isidro Pizarro Villaverde,M,45,
